Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
01/15/2021,DJX210115C00190000,0,0,109.3,113.7,0,0,0.9976,0.0001,0,190.000,DJX210115P00190000,0,0,0,0.16,0,0.5462,-0.0043,0.0002,179
01/15/2021,DJX210115C00195000,0,0,104.55,108.7,0,0,0.9975,0.0002,0,195.000,DJX210115P00195000,0,0,0,0.17,0,0.5232,-0.0048,0.0003,34
01/15/2021,DJX210115C00200000,0,0,99.55,103.7,0,0,0.9974,0.0002,0,200.000,DJX210115P00200000,0,0,0,0.17,0,0.4945,-0.005,0.0003,38
01/15/2021,DJX210115C00205000,0,0,94.35,98.75,0,0,0.9946,0.0003,0,205.000,DJX210115P00205000,0,0,0,0.18,0,0.4709,-0.0056,0.0003,0
01/15/2021,DJX210115C00210000,0,0,89.6,93.75,0,0,0.9942,0.0004,0,210.000,DJX210115P00210000,0.15,0,0,0.19,0,0.4469,-0.0061,0.0004,40
01/15/2021,DJX210115C00215000,0,0,84.4,88.75,0,0,0.9914,0.0005,0,215.000,DJX210115P00215000,0,0,0,0.2,0,0.4244,-0.0069,0.0004,0
01/15/2021,DJX210115C00220000,0,0,79.65,83.8,0,0,0.9952,0.0004,1,220.000,DJX210115P00220000,0,0,0,0.22,0,0.4023,-0.0077,0.0005,11
01/15/2021,DJX210115C00225000,0,0,74.7,78.85,0,0,0.9949,0.0004,0,225.000,DJX210115P00225000,0,0,0,0.25,0,0.3834,-0.0092,0.0006,22
01/15/2021,DJX210115C00230000,0,0,69.75,73.9,0,0.2557,0.9993,0.0001,0,230.000,DJX210115P00230000,0.22,0,0.05,0.3,0,0.3747,-0.0127,0.0009,155
01/15/2021,DJX210115C00235000,0,0,64.85,68.95,0,0.314,0.9925,0.0006,1,235.000,DJX210115P00235000,0.47,0,0.06,0.41,0,0.3644,-0.0171,0.0012,400
01/15/2021,DJX210115C00240000,0,0,59.95,64,0,0.3174,0.9865,0.0011,0,240.000,DJX210115P00240000,0.4,0,0.11,0.53,0,0.3544,-0.023,0.0015,91
01/15/2021,DJX210115C00241000,0,0,58.95,63,0,0.3124,0.9863,0.0011,0,241.000,DJX210115P00241000,0,0,0.13,0.56,0,0.3531,-0.0246,0.0016,0
01/15/2021,DJX210115C00242000,0,0,58,62,0,0.3137,0.9846,0.0012,0,242.000,DJX210115P00242000,0.65,0,0.14,0.58,0,0.3502,-0.0258,0.0017,10
01/15/2021,DJX210115C00243000,0,0,57,61.05,0,0.3146,0.9827,0.0013,0,243.000,DJX210115P00243000,0,0,0.17,0.6,0,0.3486,-0.0274,0.0018,0
01/15/2021,DJX210115C00244000,0,0,56,60.05,0,0.3096,0.9824,0.0014,0,244.000,DJX210115P00244000,0,0,0.18,0.63,0,0.3461,-0.0289,0.0019,0
01/15/2021,DJX210115C00245000,0,0,55.05,59.05,0,0.3105,0.9804,0.0015,1,245.000,DJX210115P00245000,0.44,0,0.2,0.65,0,0.3434,-0.0303,0.002,62
01/15/2021,DJX210115C00246000,0,0,54.05,58.1,0,0.3102,0.9785,0.0016,0,246.000,DJX210115P00246000,0,0,0.22,0.68,0,0.3413,-0.0321,0.0021,0
01/15/2021,DJX210115C00247000,0,0,53.1,57.1,0,0.3094,0.9767,0.0018,0,247.000,DJX210115P00247000,0.8,0,0.24,0.7,0,0.3383,-0.0336,0.0022,10
01/15/2021,DJX210115C00248000,0,0,52.1,56.1,0,0.3042,0.9763,0.0018,0,248.000,DJX210115P00248000,0,0,0.26,0.73,0,0.3359,-0.0354,0.0023,0
01/15/2021,DJX210115C00249000,0,0,51.15,55.15,0,0.3071,0.9729,0.002,0,249.000,DJX210115P00249000,0,0,0.29,0.76,0,0.3338,-0.0374,0.0024,0
01/15/2021,DJX210115C00250000,0,0,50.2,54.15,0,0.3055,0.971,0.0021,0,250.000,DJX210115P00250000,0.56,-0.145,0.31,0.79,1,0.3311,-0.0393,0.0025,274
01/15/2021,DJX210115C00251000,0,0,49.25,53.2,0,0.3071,0.9677,0.0023,0,251.000,DJX210115P00251000,0,0,0.32,0.82,0,0.3276,-0.0409,0.0027,5
01/15/2021,DJX210115C00252000,0,0,48.25,52.2,0,0.3015,0.9672,0.0024,0,252.000,DJX210115P00252000,1.21,0,0.36,0.86,0,0.3261,-0.0436,0.0028,8
01/15/2021,DJX210115C00253000,0,0,47.3,51.25,0,0.3025,0.9637,0.0026,0,253.000,DJX210115P00253000,0,0,0.37,0.89,0,0.3223,-0.0452,0.0029,0
01/15/2021,DJX210115C00254000,0,0,46.35,50.25,0,0.2999,0.9618,0.0027,0,254.000,DJX210115P00254000,0,0,0.42,0.93,0,0.321,-0.0482,0.0031,0
01/15/2021,DJX210115C00255000,45.74,0,45.4,49.3,0,0.3,0.9583,0.0029,1,255.000,DJX210115P00255000,0.85,0,0.45,0.97,0,0.3184,-0.0507,0.0032,54
01/15/2021,DJX210115C00256000,0,0,44.45,48.3,0,0.2969,0.9563,0.0031,0,256.000,DJX210115P00256000,0,0,0.49,1,0,0.3157,-0.0532,0.0034,0
01/15/2021,DJX210115C00257000,0,0,43.5,47.35,0,0.2964,0.9528,0.0033,0,257.000,DJX210115P00257000,0,0,0.52,1.05,0,0.3132,-0.056,0.0036,0
01/15/2021,DJX210115C00258000,0,0,42.55,46.4,0,0.2955,0.9493,0.0035,0,258.000,DJX210115P00258000,0,0,0.56,1.09,0,0.3106,-0.0589,0.0037,0
01/15/2021,DJX210115C00259000,0,0,41.6,45.4,0,0.2919,0.9471,0.0037,0,259.000,DJX210115P00259000,0,0,0.6,1.13,0,0.3079,-0.0618,0.0039,4
01/15/2021,DJX210115C00260000,0,0,40.65,44.45,0,0.2904,0.9436,0.0039,0,260.000,DJX210115P00260000,0.94,-0.235,0.62,1.18,4,0.3045,-0.0646,0.0041,311
01/15/2021,DJX210115C00261000,0,0,39.7,43.5,0,0.2886,0.9401,0.0041,0,261.000,DJX210115P00261000,0,0,0.68,1.23,0,0.3026,-0.0683,0.0043,0
01/15/2021,DJX210115C00262000,0,0,38.75,42.5,0,0.2846,0.9377,0.0043,0,262.000,DJX210115P00262000,0,0,0.73,1.28,0,0.3,-0.0718,0.0045,0
01/15/2021,DJX210115C00263000,0,0,37.85,41.55,0,0.2844,0.9327,0.0045,0,263.000,DJX210115P00263000,0,0,0.78,1.33,0,0.2973,-0.0754,0.0047,0
01/15/2021,DJX210115C00264000,0,0,36.9,40.6,0,0.282,0.929,0.0048,0,264.000,DJX210115P00264000,0,0,0.84,1.39,0,0.2949,-0.0795,0.005,0
01/15/2021,DJX210115C00265000,0,0,35.95,39.65,0,0.2793,0.9252,0.005,0,265.000,DJX210115P00265000,1.21,-0.285,0.95,1.46,5,0.2944,-0.0849,0.0052,7
01/15/2021,DJX210115C00266000,0,0,35.05,38.7,0,0.2782,0.9201,0.0053,2,266.000,DJX210115P00266000,0,0,0.92,1.51,0,0.2887,-0.0871,0.0054,0
01/15/2021,DJX210115C00267000,0,0,34.15,37.75,0,0.2767,0.915,0.0056,0,267.000,DJX210115P00267000,1.47,0,1,1.57,0,0.2865,-0.0919,0.0057,9
01/15/2021,DJX210115C00268000,0,0,33.2,36.8,0,0.2734,0.911,0.0058,0,268.000,DJX210115P00268000,0,0,1.04,1.64,0,0.2831,-0.0961,0.006,28
01/15/2021,DJX210115C00269000,0,0,32.3,35.85,0,0.2715,0.9057,0.0061,0,269.000,DJX210115P00269000,0,0,1.13,1.71,0,0.2811,-0.1014,0.0063,0
01/15/2021,DJX210115C00270000,30.33,0,31.4,34.9,0,0.2693,0.9004,0.0064,1,270.000,DJX210115P00270000,1.62,-0.295,1.18,1.79,4,0.278,-0.1063,0.0065,22
01/15/2021,DJX210115C00271000,0,0,30.5,33.95,0,0.2668,0.8949,0.0068,0,271.000,DJX210115P00271000,0,0,1.28,1.86,0,0.2757,-0.112,0.0069,5
01/15/2021,DJX210115C00272000,0,0,29.6,33,0,0.2641,0.8894,0.0071,0,272.000,DJX210115P00272000,0,0,1.33,1.95,0,0.2725,-0.1172,0.0072,1
01/15/2021,DJX210115C00273000,0,0,28.7,32.05,0,0.2612,0.8837,0.0074,0,273.000,DJX210115P00273000,0,0,1.44,2.04,0,0.2705,-0.1238,0.0075,1
01/15/2021,DJX210115C00274000,0,0,27.8,31.15,0,0.2593,0.8769,0.0078,0,274.000,DJX210115P00274000,1.89,-0.455,1.53,2.13,3,0.2678,-0.1301,0.0078,800
01/15/2021,DJX210115C00275000,0,0,26.95,30.2,0,0.2572,0.87,0.0082,1,275.000,DJX210115P00275000,2.22,0,1.95,2.23,0,0.2725,-0.1427,0.0082,16
01/15/2021,DJX210115C00276000,0,0,26.05,29.3,0,0.2547,0.8629,0.0085,0,276.000,DJX210115P00276000,0,0,1.71,2.33,0,0.2622,-0.1434,0.0086,0
01/15/2021,DJX210115C00277000,0,0,25.2,28.35,0,0.252,0.8558,0.0089,0,277.000,DJX210115P00277000,3.08,0,1.83,2.43,0,0.2597,-0.1508,0.0089,37
01/15/2021,DJX210115C00278000,0,0,24.15,27.45,0,0.2459,0.8512,0.0093,0,278.000,DJX210115P00278000,3.95,0,1.92,2.55,0,0.2567,-0.1582,0.0093,15
01/15/2021,DJX210115C00279000,0,0,23.3,26.55,0,0.2439,0.8427,0.0098,0,279.000,DJX210115P00279000,0,0,2.03,2.67,0,0.2539,-0.1661,0.0097,0
01/15/2021,DJX210115C00280000,21.45,0,22.65,25.65,0,0.2455,0.8304,0.0102,7,280.000,DJX210115P00280000,2.57,-0.595,2.16,2.8,2,0.2515,-0.1747,0.0102,319
01/15/2021,DJX210115C00281000,0,0,21.85,24.75,0,0.2438,0.8208,0.0106,0,281.000,DJX210115P00281000,0,0,2.3,2.93,0,0.2489,-0.1837,0.0106,0
01/15/2021,DJX210115C00282000,0,0,20.8,23.85,0,0.237,0.8153,0.0112,0,282.000,DJX210115P00282000,0,0,2.43,3.1,0,0.2467,-0.1933,0.011,0
01/15/2021,DJX210115C00283000,0,0,20,22.95,0,0.2348,0.8052,0.0116,1,283.000,DJX210115P00283000,0,0,2.57,3.25,0,0.244,-0.2029,0.0115,0
01/15/2021,DJX210115C00284000,0,0,20.05,21.65,0,0.24,0.7879,0.012,0,284.000,DJX210115P00284000,3.1,-0.75,2.73,3.4,5,0.2413,-0.2131,0.012,0
01/15/2021,DJX210115C00285000,14.42,0,19.2,20.8,0,0.2368,0.7777,0.0125,0,285.000,DJX210115P00285000,3.41,-0.665,3,3.55,1,0.2402,-0.2251,0.0124,532
01/15/2021,DJX210115C00286000,0,0,18.4,20,0,0.2351,0.7657,0.0129,0,286.000,DJX210115P00286000,6,0,3.05,3.75,0,0.2359,-0.2349,0.0129,11
01/15/2021,DJX210115C00287000,0,0,17.55,19.15,0,0.2315,0.7548,0.0135,0,287.000,DJX210115P00287000,3.95,-0.575,3.25,3.9,20,0.233,-0.2463,0.0134,0
01/15/2021,DJX210115C00288000,0,0,16.75,18.35,0,0.2291,0.7424,0.014,0,288.000,DJX210115P00288000,0,0,3.45,4.1,0,0.2306,-0.2587,0.0139,0
01/15/2021,DJX210115C00289000,0,0,16.05,17.55,0,0.2279,0.7285,0.0144,0,289.000,DJX210115P00289000,0,0,3.7,4.3,0,0.2286,-0.272,0.0144,0
01/15/2021,DJX210115C00290000,15.65,1.425,15.25,16.8,10,0.2255,0.715,0.0149,8,290.000,DJX210115P00290000,4.38,-0.82,3.85,4.55,1,0.2255,-0.2849,0.0149,54
01/15/2021,DJX210115C00291000,0,0,14.5,16,0,0.2228,0.7012,0.0154,0,291.000,DJX210115P00291000,5.2,0,4.1,4.8,0,0.2236,-0.2993,0.0154,11
01/15/2021,DJX210115C00292000,0,0,13.75,15.25,0,0.2205,0.6865,0.0159,1,292.000,DJX210115P00292000,9.29,0,4.35,5,0,0.2205,-0.3134,0.0159,2
01/15/2021,DJX210115C00293000,0,0,13,14.5,0,0.2178,0.6715,0.0165,0,293.000,DJX210115P00293000,7.95,0,4.6,5,0,0.2144,-0.3262,0.0167,103
01/15/2021,DJX210115C00294000,9.34,0,12.25,13.75,0,0.2148,0.6561,0.017,1,294.000,DJX210115P00294000,7.25,0,4.9,5.55,0,0.2161,-0.3445,0.0169,54
01/15/2021,DJX210115C00295000,11.9,1.2,11.55,13.05,10,0.2127,0.6396,0.0175,13,295.000,DJX210115P00295000,5.62,-1.155,5.1,5.85,2,0.2126,-0.3603,0.0175,22
01/15/2021,DJX210115C00296000,8.16,0,10.85,12.35,0,0.2101,0.6227,0.0179,1,296.000,DJX210115P00296000,6.9,0,5.4,6.15,0,0.2101,-0.3772,0.0179,2
01/15/2021,DJX210115C00297000,0,0,10.2,11.65,0,0.2079,0.6052,0.0184,0,297.000,DJX210115P00297000,8.45,0,5.7,6.5,0,0.2079,-0.3948,0.0184,6
01/15/2021,DJX210115C00298000,0,0,9.55,10.95,0,0.2052,0.5872,0.0188,0,298.000,DJX210115P00298000,8.5,0,6,6.85,0,0.2051,-0.4127,0.0188,5
01/15/2021,DJX210115C00299000,9.05,0,8.95,10.25,0,0.2026,0.5685,0.0192,2,299.000,DJX210115P00299000,7.95,0,6.35,7.2,0,0.2026,-0.4314,0.0192,0
01/15/2021,DJX210115C00300000,8.73,1.08,8.35,9.6,25,0.2003,0.5493,0.0196,62,300.000,DJX210115P00300000,7.5,-1.175,6.7,7.6,2,0.2003,-0.4506,0.0196,78
01/15/2021,DJX210115C00305000,5.8,0.55,5.75,6.6,59,0.1895,0.4468,0.0207,58,305.000,DJX210115P00305000,9.55,-1.675,8.75,9.9,15,0.1888,-0.5534,0.0208,25
01/15/2021,DJX210115C00310000,3.85,0.595,3.55,4.3,5,0.179,0.3383,0.0203,835,310.000,DJX210115P00310000,12.35,-2.05,11.35,12.8,10,0.1784,-0.6623,0.0203,3
01/15/2021,DJX210115C00315000,2.33,0.345,2.04,2.69,40,0.1725,0.238,0.0178,522,315.000,DJX210115P00315000,0,0,14.8,16.25,0,0.1721,-0.7625,0.0178,0
01/15/2021,DJX210115C00320000,1.29,0,1.08,1.67,0,0.1695,0.1575,0.0141,1024,320.000,DJX210115P00320000,0,0,18.05,21.25,0,0.1735,-0.8364,0.0141,0
01/15/2021,DJX210115C00325000,0.73,0,0.53,1.06,0,0.1694,0.1005,0.0103,56,325.000,DJX210115P00325000,0,0,22.3,25.9,0,0.1766,-0.8895,0.0106,0
01/15/2021,DJX210115C00330000,0.45,0,0.23,0.62,0,0.1685,0.0596,0.007,122,330.000,DJX210115P00330000,0,0,26.8,30.7,0,0.1801,-0.9269,0.0076,0
01/15/2021,DJX210115C00335000,0.18,0,0.07,0.36,0,0.1672,0.0329,0.0044,119,335.000,DJX210115P00335000,0,0,31.55,35.55,0,0.1858,-0.9504,0.0055,0
01/15/2021,DJX210115C00340000,0.18,0,0,0.26,0,0.1724,0.0207,0.0029,168,340.000,DJX210115P00340000,0,0,36.4,40.45,0,0.192,-0.966,0.0039,3
01/15/2021,DJX210115C00345000,0.01,-0.115,0,0.13,200,0.1725,0.0109,0.0017,402,345.000,DJX210115P00345000,0,0,41.3,45.65,0,0.2178,-0.9641,0.0036,0
01/15/2021,DJX210115C00350000,0,0,0,0.18,0,0.1963,0.013,0.0017,200,350.000,DJX210115P00350000,0,0,46.3,50.4,0,0.2172,-0.9774,0.0024,0
01/15/2021,DJX210115C00355000,0.1,0,0,0.17,0,0.211,0.0117,0.0014,9,355.000,DJX210115P00355000,0,0,51.25,55.4,0,0.2291,-0.9813,0.002,0
01/15/2021,DJX210115C00360000,0,0,0,0.17,0,0.2265,0.0109,0.0013,0,360.000,DJX210115P00360000,0,0,56.25,60.4,0,0.246,-0.9822,0.0018,3
02/19/2021,DJX210219C00190000,0,0,109.1,113.25,0,0,0.9984,0.0001,0,190.000,DJX210219P00190000,0.3,0,0,0.27,0,0.4255,-0.0066,0.0003,50
02/19/2021,DJX210219C00195000,0,0,104.15,108.3,0,0,0.997,0.0002,0,195.000,DJX210219P00195000,0,0,0.01,0.31,0,0.4126,-0.008,0.0004,0
02/19/2021,DJX210219C00200000,0,0,99.2,103.3,0,0,0.9944,0.0003,0,200.000,DJX210219P00200000,0.65,0,0.04,0.37,0,0.4041,-0.0102,0.0005,10
02/19/2021,DJX210219C00205000,0,0,94.25,98.35,0,0.2917,0.9983,0.0001,0,205.000,DJX210219P00205000,0,0,0.08,0.46,0,0.3972,-0.0132,0.0006,0
02/19/2021,DJX210219C00210000,0,0,89.3,93.45,0,0.3247,0.9939,0.0004,0,210.000,DJX210219P00210000,0,0,0.13,0.56,0,0.3896,-0.0169,0.0008,0
02/19/2021,DJX210219C00215000,0,0,84.4,88.5,0,0.3301,0.9896,0.0006,0,215.000,DJX210219P00215000,0,0,0.18,0.64,0,0.3776,-0.0203,0.0009,0
02/19/2021,DJX210219C00220000,0,0,79.5,83.55,0,0.3266,0.9855,0.0008,0,220.000,DJX210219P00220000,0,0,0.26,0.74,0,0.3672,-0.0248,0.0012,0
02/19/2021,DJX210219C00225000,0,0,74.6,78.65,0,0.3231,0.98,0.0011,0,225.000,DJX210219P00225000,0,0,0.35,0.86,0,0.3565,-0.0301,0.0014,0
02/19/2021,DJX210219C00230000,0,0,69.75,73.8,0,0.3213,0.9723,0.0014,0,230.000,DJX210219P00230000,0,0,0.44,1,0,0.3449,-0.0361,0.0017,0
02/19/2021,DJX210219C00235000,0,0,64.95,68.9,0,0.3145,0.9644,0.0018,0,235.000,DJX210219P00235000,1.25,0,0.6,1.17,0,0.3354,-0.0443,0.002,5
02/19/2021,DJX210219C00240000,0,0,60.2,64.1,0,0.3104,0.9533,0.0023,0,240.000,DJX210219P00240000,1.55,0,0.78,1.37,0,0.3254,-0.0538,0.0024,20
02/19/2021,DJX210219C00245000,53.89,0,55.45,59.25,0,0.3006,0.9427,0.0028,1,245.000,DJX210219P00245000,1.83,0,0.96,1.61,0,0.314,-0.0645,0.0029,1
02/19/2021,DJX210219C00250000,0,0,50.8,54.5,0,0.2938,0.9279,0.0034,0,250.000,DJX210219P00250000,0,0,1.22,1.9,0,0.3041,-0.0782,0.0035,0
02/19/2021,DJX210219C00255000,0,0,46.2,49.8,0,0.286,0.9107,0.0041,0,255.000,DJX210219P00255000,0,0,1.54,2.24,0,0.294,-0.0946,0.0042,0
02/19/2021,DJX210219C00260000,0,0,41.65,45.1,0,0.276,0.8916,0.0049,0,260.000,DJX210219P00260000,0,0,1.93,2.65,0,0.2839,-0.1141,0.005,0
02/19/2021,DJX210219C00265000,0,0,37.25,40.5,0,0.2674,0.8674,0.0058,0,265.000,DJX210219P00265000,0,0,2.46,3.15,0,0.2749,-0.1383,0.0059,0
02/19/2021,DJX210219C00270000,0,0,32.95,36,0,0.2586,0.8388,0.0069,0,270.000,DJX210219P00270000,3.55,-0.35,2.99,3.75,5,0.2642,-0.1655,0.0069,6
02/19/2021,DJX210219C00275000,0,0,28.75,31.6,0,0.2489,0.8056,0.0081,0,275.000,DJX210219P00275000,4.46,0,3.65,4.45,0,0.2534,-0.1979,0.008,6
02/19/2021,DJX210219C00280000,0,0,25.3,27.25,0,0.2452,0.7618,0.0092,0,280.000,DJX210219P00280000,0,0,4.55,5.35,0,0.2445,-0.2375,0.0092,0
02/19/2021,DJX210219C00285000,18.15,0,21.3,23.25,0,0.2343,0.7171,0.0105,10,285.000,DJX210219P00285000,8.8,0,5.55,6.35,0,0.2337,-0.2824,0.0105,1
02/19/2021,DJX210219C00290000,0,0,17.6,19.35,0,0.2233,0.6651,0.0119,0,290.000,DJX210219P00290000,7.7,-0.575,6.75,7.65,6,0.2238,-0.335,0.0119,15
02/19/2021,DJX210219C00295000,0,0,14.2,15.7,0,0.2129,0.6049,0.0132,0,295.000,DJX210219P00295000,10.53,0,8.3,9.15,0,0.2143,-0.3953,0.0131,1
